Município 1,Município 2,Distancia (km),Distancia Euclidiana,População 1,População 2,Pos_X 1,Pos_Y 1,Pos_X 2,Pos_Y 2
Ribeira de Pena,Mondim de Basto,46,16,5885,6410,-7.796957151329361,41.50888780113127,-7.895079260975179,41.388719902197444
Mondim de Basto,Ribeira de Pena,46,16,6410,5885,-7.895079260975179,41.388719902197444,-7.796957151329361,41.50888780113127
Ribeira de Pena,Vila Pouca de Aguiar,17,14,5885,11813,-7.796957151329361,41.50888780113127,-7.623263759863024,41.51099873526791
Vila Pouca de Aguiar,Ribeira de Pena,17,14,11813,5885,-7.623263759863024,41.51099873526791,-7.796957151329361,41.50888780113127
Ribeira de Pena,Vila Real,41,22,5885,49574,-7.796957151329361,41.50888780113127,-7.738615816637787,41.311651609149834
Vila Real,Ribeira de Pena,41,22,49574,5885,-7.738615816637787,41.311651609149834,-7.796957151329361,41.50888780113127
Mondim de Basto,Vila Real,65,16,6410,49574,-7.895079260975179,41.388719902197444,-7.738615816637787,41.311651609149834
Vila Real,Mondim de Basto,65,16,49574,6410,-7.738615816637787,41.311651609149834,-7.895079260975179,41.388719902197444
Mondim de Basto,Amarante,32,18,6410,52119,-7.895079260975179,41.388719902197444,-8.042077162288951,41.272522052031995
Amarante,Mondim de Basto,32,18,52119,6410,-8.042077162288951,41.272522052031995,-7.895079260975179,41.388719902197444
Vila Pouca de Aguiar,Valpaços,44,26,11813,14702,-7.623263759863024,41.51099873526791,-7.341273021601449,41.61184417338919
Valpaços,Vila Pouca de Aguiar,44,26,14702,11813,-7.341273021601449,41.61184417338919,-7.623263759863024,41.51099873526791
Vila Pouca de Aguiar,Murça,36,18,11813,5245,-7.623263759863024,41.51099873526791,-7.440737309679771,41.42240996503524
Murça,Vila Pouca de Aguiar,36,18,5245,11813,-7.440737309679771,41.42240996503524,-7.623263759863024,41.51099873526791
Vila Pouca de Aguiar,Vila Real,26,24,11813,49574,-7.623263759863024,41.51099873526791,-7.738615816637787,41.311651609149834
Vila Real,Vila Pouca de Aguiar,26,24,49574,11813,-7.738615816637787,41.311651609149834,-7.623263759863024,41.51099873526791
Vila Pouca de Aguiar,Sabrosa,40,29,11813,5548,-7.623263759863024,41.51099873526791,-7.5986435461542925,41.2523539652494
Sabrosa,Vila Pouca de Aguiar,40,29,5548,11813,-7.5986435461542925,41.2523539652494,-7.623263759863024,41.51099873526791
Vila Pouca de Aguiar,Alijó,41,26,11813,10486,-7.623263759863024,41.51099873526791,-7.486002706297583,41.30381304798798
Alijó,Vila Pouca de Aguiar,41,26,10486,11813,-7.486002706297583,41.30381304798798,-7.623263759863024,41.51099873526791
Valpaços,Murça,39,23,14702,5245,-7.341273021601449,41.61184417338919,-7.440737309679771,41.42240996503524
Murça,Valpaços,39,23,5245,14702,-7.440737309679771,41.42240996503524,-7.341273021601449,41.61184417338919
Valpaços,Vinhais,74,35,14702,7768,-7.341273021601449,41.61184417338919,-7.048664981885837,41.832500237900504
Vinhais,Valpaços,74,35,7768,14702,-7.048664981885837,41.832500237900504,-7.341273021601449,41.61184417338919
Valpaços,Mirandela,47,17,14702,21394,-7.341273021601449,41.61184417338919,-7.1876705522151445,41.50846321102736
Mirandela,Valpaços,47,17,21394,14702,-7.1876705522151445,41.50846321102736,-7.341273021601449,41.61184417338919
Murça,Alijó,22,14,5245,10486,-7.440737309679771,41.42240996503524,-7.486002706297583,41.30381304798798
Alijó,Murça,22,14,10486,5245,-7.486002706297583,41.30381304798798,-7.440737309679771,41.42240996503524
Murça,Carrazeda de Ansiães,46,24,5245,5491,-7.440737309679771,41.42240996503524,-7.30802925747023,41.22802722393855
Carrazeda de Ansiães,Murça,46,24,5491,5245,-7.30802925747023,41.22802722393855,-7.440737309679771,41.42240996503524
Murça,Mirandela,52,23,5245,21394,-7.440737309679771,41.42240996503524,-7.1876705522151445,41.50846321102736
Mirandela,Murça,52,23,21394,5245,-7.1876705522151445,41.50846321102736,-7.440737309679771,41.42240996503524
Vila Real,Santa Marta de Penaguião,19,11,49574,6100,-7.738615816637787,41.311651609149834,-7.802265154630094,41.22807122539914
Santa Marta de Penaguião,Vila Real,19,11,6100,49574,-7.802265154630094,41.22807122539914,-7.738615816637787,41.311651609149834
Vila Real,Peso da Régua,23,14,49574,14541,-7.738615816637787,41.311651609149834,-7.768766167094625,41.18327302376671
Peso da Régua,Vila Real,23,14,14541,49574,-7.768766167094625,41.18327302376671,-7.738615816637787,41.311651609149834
Vila Real,Sabrosa,17,13,49574,5548,-7.738615816637787,41.311651609149834,-7.5986435461542925,41.2523539652494
Sabrosa,Vila Real,17,13,5548,49574,-7.5986435461542925,41.2523539652494,-7.738615816637787,41.311651609149834
Vila Real,Amarante,36,26,49574,52119,-7.738615816637787,41.311651609149834,-8.042077162288951,41.272522052031995
Amarante,Vila Real,36,26,52119,49574,-8.042077162288951,41.272522052031995,-7.738615816637787,41.311651609149834
Santa Marta de Penaguião,Peso da Régua,8,6,6100,14541,-7.802265154630094,41.22807122539914,-7.768766167094625,41.18327302376671
Peso da Régua,Santa Marta de Penaguião,8,6,14541,6100,-7.768766167094625,41.18327302376671,-7.802265154630094,41.22807122539914
Santa Marta de Penaguião,Amarante,45,21,6100,52119,-7.802265154630094,41.22807122539914,-8.042077162288951,41.272522052031995
Amarante,Santa Marta de Penaguião,45,21,52119,6100,-8.042077162288951,41.272522052031995,-7.802265154630094,41.22807122539914
Mesão Frio,Peso da Régua,15,9,3548,14541,-7.87100763509737,41.16391846372782,-7.768766167094625,41.18327302376671
Peso da Régua,Mesão Frio,15,9,14541,3548,-7.768766167094625,41.18327302376671,-7.87100763509737,41.16391846372782
Mesão Frio,Lamego,26,10,3548,24315,-7.87100763509737,41.16391846372782,-7.822502685730873,41.08071726316735
Lamego,Mesão Frio,26,10,24315,3548,-7.822502685730873,41.08071726316735,-7.87100763509737,41.16391846372782
Mesão Frio,Resende,19,11,3548,10051,-7.87100763509737,41.16391846372782,-7.93977191806962,41.076216150780915
Resende,Mesão Frio,19,11,10051,3548,-7.93977191806962,41.076216150780915,-7.87100763509737,41.16391846372782
Peso da Régua,Sabrosa,24,16,14541,5548,-7.768766167094625,41.18327302376671,-7.5986435461542925,41.2523539652494
Sabrosa,Peso da Régua,24,16,5548,14541,-7.5986435461542925,41.2523539652494,-7.768766167094625,41.18327302376671
Peso da Régua,Armamar,37,12,14541,5678,-7.768766167094625,41.18327302376671,-7.677568356385944,41.09490557573109
Armamar,Peso da Régua,37,12,5678,14541,-7.677568356385944,41.09490557573109,-7.768766167094625,41.18327302376671
Peso da Régua,Lamego,45,12,14541,24315,-7.768766167094625,41.18327302376671,-7.822502685730873,41.08071726316735
Lamego,Peso da Régua,45,12,24315,14541,-7.822502685730873,41.08071726316735,-7.768766167094625,41.18327302376671
Sabrosa,Alijó,37,11,5548,10486,-7.5986435461542925,41.2523539652494,-7.486002706297583,41.30381304798798
Alijó,Sabrosa,37,11,10486,5548,-7.486002706297583,41.30381304798798,-7.5986435461542925,41.2523539652494
Sabrosa,Armamar,32,19,5548,5678,-7.5986435461542925,41.2523539652494,-7.677568356385944,41.09490557573109
Armamar,Sabrosa,32,19,5678,5548,-7.677568356385944,41.09490557573109,-7.5986435461542925,41.2523539652494
Sabrosa,São João da Pesqueira,36,20,5548,6775,-7.5986435461542925,41.2523539652494,-7.438001486591825,41.11852389822057
São João da Pesqueira,Sabrosa,36,20,6775,5548,-7.438001486591825,41.11852389822057,-7.5986435461542925,41.2523539652494
Sabrosa,Tabuaço,32,18,5548,5034,-7.5986435461542925,41.2523539652494,-7.565558432687067,41.09427442571333
Tabuaço,Sabrosa,32,18,5034,5548,-7.565558432687067,41.09427442571333,-7.5986435461542925,41.2523539652494
Alijó,Carrazeda de Ansiães,34,17,10486,5491,-7.486002706297583,41.30381304798798,-7.30802925747023,41.22802722393855
Carrazeda de Ansiães,Alijó,34,17,5491,10486,-7.30802925747023,41.22802722393855,-7.486002706297583,41.30381304798798
Alijó,São João da Pesqueira,70,21,10486,6775,-7.486002706297583,41.30381304798798,-7.438001486591825,41.11852389822057
São João da Pesqueira,Alijó,70,21,6775,10486,-7.438001486591825,41.11852389822057,-7.486002706297583,41.30381304798798
Monção,Valença,23,15,17818,13625,-8.42630023966196,42.02720596324474,-8.606349788023696,41.99831250178686
Valença,Monção,23,15,13625,17818,-8.606349788023696,41.99831250178686,-8.42630023966196,42.02720596324474
Monção,Melgaço,18,18,17818,7773,-8.42630023966196,42.02720596324474,-8.213315383431834,42.049628280288076
Melgaço,Monção,18,18,7773,17818,-8.213315383431834,42.049628280288076,-8.42630023966196,42.02720596324474
Monção,Paredes de Coura,37,18,17818,8632,-8.42630023966196,42.02720596324474,-8.572112234299196,41.91018659743736
Paredes de Coura,Monção,37,18,8632,17818,-8.572112234299196,41.91018659743736,-8.42630023966196,42.02720596324474
Monção,Arcos de Valdevez,37,15,17818,20720,-8.42630023966196,42.02720596324474,-8.364516707142778,41.90286023640483
Arcos de Valdevez,Monção,37,15,20720,17818,-8.364516707142778,41.90286023640483,-8.42630023966196,42.02720596324474
Valença,Paredes de Coura,17,10,13625,8632,-8.606349788023696,41.99831250178686,-8.572112234299196,41.91018659743736
Paredes de Coura,Valença,17,10,8632,13625,-8.572112234299196,41.91018659743736,-8.606349788023696,41.99831250178686
Valença,Vila Nova de Cerveira,15,12,13625,8923,-8.606349788023696,41.99831250178686,-8.706562110859254,41.917255315675895
Vila Nova de Cerveira,Valença,15,12,8923,13625,-8.706562110859254,41.917255315675895,-8.606349788023696,41.99831250178686
Arcos de Valdevez,Melgaço,55,21,20720,7773,-8.364516707142778,41.90286023640483,-8.213315383431834,42.049628280288076
Melgaço,Arcos de Valdevez,55,21,7773,20720,-8.213315383431834,42.049628280288076,-8.364516707142778,41.90286023640483
Arcos de Valdevez,Paredes de Coura,32,17,20720,8632,-8.364516707142778,41.90286023640483,-8.572112234299196,41.91018659743736
Paredes de Coura,Arcos de Valdevez,32,17,8632,20720,-8.572112234299196,41.91018659743736,-8.364516707142778,41.90286023640483
Paredes de Coura,Vila Nova de Cerveira,13,11,8632,8923,-8.572112234299196,41.91018659743736,-8.706562110859254,41.917255315675895
Vila Nova de Cerveira,Paredes de Coura,13,11,8923,8632,-8.706562110859254,41.917255315675895,-8.572112234299196,41.91018659743736
Fundão,Belmonte,64,27,26509,6205,-7.482440775423752,40.12146414166088,-7.329672759835621,40.330772441100336
Belmonte,Fundão,64,27,6205,26509,-7.329672759835621,40.330772441100336,-7.482440775423752,40.12146414166088
Fundão,Covilhã,16,17,26509,46457,-7.482440775423752,40.12146414166088,-7.562608695921052,40.25671498955834
Covilhã,Fundão,16,17,46457,26509,-7.562608695921052,40.25671498955834,-7.482440775423752,40.12146414166088
Fundão,Pampilhosa da Serra,72,37,26509,4083,-7.482440775423752,40.12146414166088,-7.916366611642665,40.08431355129414
Pampilhosa da Serra,Fundão,72,37,4083,26509,-7.916366611642665,40.08431355129414,-7.482440775423752,40.12146414166088
Fundão,Idanha-a-Nova,58,40,26509,8356,-7.482440775423752,40.12146414166088,-7.113037045966672,39.900286411270066
Idanha-a-Nova,Fundão,58,40,8356,26509,-7.113037045966672,39.900286411270066,-7.482440775423752,40.12146414166088
Fundão,Penamacor,36,30,26509,4768,-7.482440775423752,40.12146414166088,-7.136770476979396,40.17652248928864
Penamacor,Fundão,36,30,4768,26509,-7.136770476979396,40.17652248928864,-7.482440775423752,40.12146414166088
Fundão,Castelo Branco,36,30,26509,52291,-7.482440775423752,40.12146414166088,-7.50165941179823,39.854838587865665
Castelo Branco,Fundão,36,30,52291,26509,-7.50165941179823,39.854838587865665,-7.482440775423752,40.12146414166088
Fundão,Oleiros,87,38,26509,4905,-7.482440775423752,40.12146414166088,-7.871113969945414,39.944581166245186
Oleiros,Fundão,87,38,4905,26509,-7.871113969945414,39.944581166245186,-7.482440775423752,40.12146414166088
Bragança,Vimioso,55,28,34589,4149,-6.735259589405564,41.77092058314166,-6.530757428209479,41.570723792299674
Vimioso,Bragança,55,28,4149,34589,-6.530757428209479,41.570723792299674,-6.735259589405564,41.77092058314166
Bragança,Vinhais,40,27,34589,7768,-6.735259589405564,41.77092058314166,-7.048664981885837,41.832500237900504
Vinhais,Bragança,40,27,7768,34589,-7.048664981885837,41.832500237900504,-6.735259589405564,41.77092058314166
Bragança,Macedo de Cavaleiros,91,29,34589,14252,-6.735259589405564,41.77092058314166,-6.906297849588626,41.54336779616985
Macedo de Cavaleiros,Bragança,91,29,14252,34589,-6.906297849588626,41.54336779616985,-6.735259589405564,41.77092058314166
Miranda do Douro,Vimioso,37,16,6464,4149,-6.358504642069789,41.510612028737064,-6.530757428209479,41.570723792299674
Vimioso,Miranda do Douro,37,16,4149,6464,-6.530757428209479,41.570723792299674,-6.358504642069789,41.510612028737064
Vimioso,Macedo de Cavaleiros,79,31,4149,14252,-6.530757428209479,41.570723792299674,-6.906297849588626,41.54336779616985
Macedo de Cavaleiros,Vimioso,79,31,14252,4149,-6.906297849588626,41.54336779616985,-6.530757428209479,41.570723792299674
Vinhais,Macedo de Cavaleiros,126,34,7768,14252,-7.048664981885837,41.832500237900504,-6.906297849588626,41.54336779616985
Macedo de Cavaleiros,Vinhais,126,34,14252,7768,-6.906297849588626,41.54336779616985,-7.048664981885837,41.832500237900504
Vinhais,Mirandela,70,38,7768,21394,-7.048664981885837,41.832500237900504,-7.1876705522151445,41.50846321102736
Mirandela,Vinhais,70,38,21394,7768,-7.1876705522151445,41.50846321102736,-7.048664981885837,41.832500237900504
Alfândega da Fé,Macedo de Cavaleiros,40,22,4324,14252,-6.95112182253035,41.34984765681622,-6.906297849588626,41.54336779616985
Macedo de Cavaleiros,Alfândega da Fé,40,22,14252,4324,-6.906297849588626,41.54336779616985,-6.95112182253035,41.34984765681622
Alfândega da Fé,Mirandela,64,26,4324,21394,-6.95112182253035,41.34984765681622,-7.1876705522151445,41.50846321102736
Mirandela,Alfândega da Fé,64,26,21394,4324,-7.1876705522151445,41.50846321102736,-6.95112182253035,41.34984765681622
Alfândega da Fé,Vila Flor,31,18,4324,6052,-6.95112182253035,41.34984765681622,-7.1594658792581924,41.32168773858766
Vila Flor,Alfândega da Fé,31,18,6052,4324,-7.1594658792581924,41.32168773858766,-6.95112182253035,41.34984765681622
Macedo de Cavaleiros,Mirandela,25,24,14252,21394,-6.906297849588626,41.54336779616985,-7.1876705522151445,41.50846321102736
Mirandela,Macedo de Cavaleiros,25,24,21394,14252,-7.1876705522151445,41.50846321102736,-6.906297849588626,41.54336779616985
Carrazeda de Ansiães,Mirandela,65,33,5491,21394,-7.30802925747023,41.22802722393855,-7.1876705522151445,41.50846321102736
Mirandela,Carrazeda de Ansiães,65,33,21394,5491,-7.1876705522151445,41.50846321102736,-7.30802925747023,41.22802722393855
Carrazeda de Ansiães,Vila Flor,19,16,5491,6052,-7.30802925747023,41.22802722393855,-7.1594658792581924,41.32168773858766
Vila Flor,Carrazeda de Ansiães,19,16,6052,5491,-7.1594658792581924,41.32168773858766,-7.30802925747023,41.22802722393855
Carrazeda de Ansiães,São João da Pesqueira,94,16,5491,6775,-7.30802925747023,41.22802722393855,-7.438001486591825,41.11852389822057
São João da Pesqueira,Carrazeda de Ansiães,94,16,6775,5491,-7.438001486591825,41.11852389822057,-7.30802925747023,41.22802722393855
Mirandela,Vila Flor,31,21,21394,6052,-7.1876705522151445,41.50846321102736,-7.1594658792581924,41.32168773858766
Vila Flor,Mirandela,31,21,6052,21394,-7.1594658792581924,41.32168773858766,-7.1876705522151445,41.50846321102736
Paredes,Valongo,12,9,84371,94697,-8.39612953140082,41.181523535608584,-8.494190523154021,41.206689828296724
Valongo,Paredes,12,9,94697,84371,-8.494190523154021,41.206689828296724,-8.39612953140082,41.181523535608584
Paredes,Lousada,26,15,84371,47376,-8.39612953140082,41.181523535608584,-8.275138485490372,41.285528460570575
Lousada,Paredes,26,15,47376,84371,-8.275138485490372,41.285528460570575,-8.39612953140082,41.181523535608584
Amarante,Lousada,75,20,52119,47376,-8.042077162288951,41.272522052031995,-8.275138485490372,41.285528460570575
Lousada,Amarante,75,20,47376,52119,-8.275138485490372,41.285528460570575,-8.042077162288951,41.272522052031995
Espinho,Santa Maria da Feira,19,10,31045,136715,-8.625825815231877,40.99476457561224,-8.510521377975994,40.96696035197306
Santa Maria da Feira,Espinho,19,10,136715,31045,-8.510521377975994,40.96696035197306,-8.625825815231877,40.99476457561224
Espinho,Ovar,13,13,31045,54968,-8.625825815231877,40.99476457561224,-8.619827911909757,40.876239111736325
Ovar,Espinho,13,13,54968,31045,-8.619827911909757,40.876239111736325,-8.625825815231877,40.99476457561224
Santa Maria da Feira,Ovar,24,14,136715,54968,-8.510521377975994,40.96696035197306,-8.619827911909757,40.876239111736325
Ovar,Santa Maria da Feira,24,14,54968,136715,-8.619827911909757,40.876239111736325,-8.510521377975994,40.96696035197306
Santa Maria da Feira,São João da Madeira,13,8,136715,22144,-8.510521377975994,40.96696035197306,-8.49036595058296,40.89563142158146
São João da Madeira,Santa Maria da Feira,13,8,22144,136715,-8.49036595058296,40.89563142158146,-8.510521377975994,40.96696035197306
Santa Maria da Feira,Oliveira de Azeméis,20,14,136715,66190,-8.510521377975994,40.96696035197306,-8.468384893859428,40.84221202749806
Oliveira de Azeméis,Santa Maria da Feira,20,14,66190,136715,-8.468384893859428,40.84221202749806,-8.510521377975994,40.96696035197306
Ovar,Oliveira de Azeméis,28,13,54968,66190,-8.619827911909757,40.876239111736325,-8.468384893859428,40.84221202749806
Oliveira de Azeméis,Ovar,28,13,66190,54968,-8.468384893859428,40.84221202749806,-8.619827911909757,40.876239111736325
Ovar,Estarreja,15,13,54968,26224,-8.619827911909757,40.876239111736325,-8.57576005581956,40.761562337840374
Estarreja,Ovar,15,13,26224,54968,-8.57576005581956,40.761562337840374,-8.619827911909757,40.876239111736325
Ovar,Murtosa,16,14,54968,10478,-8.619827911909757,40.876239111736325,-8.67345346965998,40.75758566041511
Murtosa,Ovar,16,14,10478,54968,-8.67345346965998,40.75758566041511,-8.619827911909757,40.876239111736325
São João da Madeira,Oliveira de Azeméis,9,6,22144,66190,-8.49036595058296,40.89563142158146,-8.468384893859428,40.84221202749806
Oliveira de Azeméis,São João da Madeira,9,6,66190,22144,-8.468384893859428,40.84221202749806,-8.49036595058296,40.89563142158146
Oliveira de Azeméis,Vale de Cambra,18,11,66190,21275,-8.468384893859428,40.84221202749806,-8.336237521563481,40.833230100813275
Vale de Cambra,Oliveira de Azeméis,18,11,21275,66190,-8.336237521563481,40.833230100813275,-8.468384893859428,40.84221202749806
Oliveira de Azeméis,Albergaria-a-Velha,24,16,66190,24842,-8.468384893859428,40.84221202749806,-8.495481994670005,40.70011254768627
Albergaria-a-Velha,Oliveira de Azeméis,24,16,24842,66190,-8.495481994670005,40.70011254768627,-8.468384893859428,40.84221202749806
Oliveira de Azeméis,Estarreja,22,13,66190,26224,-8.468384893859428,40.84221202749806,-8.57576005581956,40.761562337840374
Estarreja,Oliveira de Azeméis,22,13,26224,66190,-8.57576005581956,40.761562337840374,-8.468384893859428,40.84221202749806
Oliveira de Azeméis,Sever do Vouga,37,16,66190,11063,-8.468384893859428,40.84221202749806,-8.352011956190326,40.72409583738499
Sever do Vouga,Oliveira de Azeméis,37,16,11063,66190,-8.352011956190326,40.72409583738499,-8.468384893859428,40.84221202749806
Vale de Cambra,Sever do Vouga,18,12,21275,11063,-8.336237521563481,40.833230100813275,-8.352011956190326,40.72409583738499
Sever do Vouga,Vale de Cambra,18,12,11063,21275,-8.352011956190326,40.72409583738499,-8.336237521563481,40.833230100813275
Vale de Cambra,São Pedro do Sul,60,20,21275,15137,-8.336237521563481,40.833230100813275,-8.094636712714705,40.81639462231096
São Pedro do Sul,Vale de Cambra,60,20,15137,21275,-8.094636712714705,40.81639462231096,-8.336237521563481,40.833230100813275
Albergaria-a-Velha,Estarreja,15,10,24842,26224,-8.495481994670005,40.70011254768627,-8.57576005581956,40.761562337840374
Estarreja,Albergaria-a-Velha,15,10,26224,24842,-8.57576005581956,40.761562337840374,-8.495481994670005,40.70011254768627
Albergaria-a-Velha,Murtosa,46,16,24842,10478,-8.495481994670005,40.70011254768627,-8.67345346965998,40.75758566041511
Murtosa,Albergaria-a-Velha,46,16,10478,24842,-8.67345346965998,40.75758566041511,-8.495481994670005,40.70011254768627
Albergaria-a-Velha,Sever do Vouga,21,12,24842,11063,-8.495481994670005,40.70011254768627,-8.352011956190326,40.72409583738499
Sever do Vouga,Albergaria-a-Velha,21,12,11063,24842,-8.352011956190326,40.72409583738499,-8.495481994670005,40.70011254768627
