Município 1,Município 2,Distancia (km),Distancia Euclidiana,População 1,População 2,Pos_X 1,Pos_Y 1,Pos_X 2,Pos_Y 2
Albergaria-a-Velha,Aveiro,15,13,24842,80978,-8.495481994670005,40.70011254768627,-8.62858112651217,40.642248992372444
Aveiro,Albergaria-a-Velha,15,13,80978,24842,-8.62858112651217,40.642248992372444,-8.495481994670005,40.70011254768627
Albergaria-a-Velha,Águeda,21,15,24842,46131,-8.495481994670005,40.70011254768627,-8.395640306961628,40.5860121420101
Águeda,Albergaria-a-Velha,21,15,46131,24842,-8.395640306961628,40.5860121420101,-8.495481994670005,40.70011254768627
Estarreja,Murtosa,31,8,26224,10478,-8.57576005581956,40.761562337840374,-8.67345346965998,40.75758566041511
Murtosa,Estarreja,31,8,10478,26224,-8.67345346965998,40.75758566041511,-8.57576005581956,40.761562337840374
Murtosa,Aveiro,49,13,10478,80978,-8.67345346965998,40.75758566041511,-8.62858112651217,40.642248992372444
Aveiro,Murtosa,49,13,80978,10478,-8.62858112651217,40.642248992372444,-8.67345346965998,40.75758566041511
Sever do Vouga,Águeda,27,16,11063,46131,-8.352011956190326,40.72409583738499,-8.395640306961628,40.5860121420101
Águeda,Sever do Vouga,27,16,46131,11063,-8.395640306961628,40.5860121420101,-8.352011956190326,40.72409583738499
Aveiro,Águeda,27,21,80978,46131,-8.62858112651217,40.642248992372444,-8.395640306961628,40.5860121420101
Águeda,Aveiro,27,21,46131,80978,-8.395640306961628,40.5860121420101,-8.62858112651217,40.642248992372444
Aveiro,Oliveira do Bairro,17,15,80978,23143,-8.62858112651217,40.642248992372444,-8.551520205178,40.5158526684386
Oliveira do Bairro,Aveiro,17,15,23143,80978,-8.551520205178,40.5158526684386,-8.62858112651217,40.642248992372444
Aveiro,Vagos,19,15,80978,22889,-8.62858112651217,40.642248992372444,-8.689552618348111,40.51546153665572
Vagos,Aveiro,19,15,22889,80978,-8.689552618348111,40.51546153665572,-8.62858112651217,40.642248992372444
Aveiro,Ílhavo,7,7,80978,39239,-8.62858112651217,40.642248992372444,-8.69987100198443,40.606171208215564
Ílhavo,Aveiro,7,7,39239,80978,-8.69987100198443,40.606171208215564,-8.62858112651217,40.642248992372444
Águeda,Anadia,16,15,46131,27535,-8.395640306961628,40.5860121420101,-8.442783041571582,40.45261823213148
Anadia,Águeda,16,15,27535,46131,-8.442783041571582,40.45261823213148,-8.395640306961628,40.5860121420101
